Seed,Acurácia,Precisão,Recall,F1-Score,TP,FP,TN,FN,Suporte(P),Suporte(N)
1,0.6804733727810651,0.7384615384615385,0.5647058823529412,0.64,48.0,37.0,67.0,17.0,85.0,84.0
42,0.6804733727810651,0.8,0.47619047619047616,0.5970149253731343,40.0,44.0,75.0,10.0,84.0,85.0
30,0.7100591715976331,0.7647058823529411,0.611764705882353,0.6797385620915033,52.0,33.0,68.0,16.0,85.0,84.0
55,0.6863905325443787,0.7424242424242424,0.5764705882352941,0.6490066225165563,49.0,36.0,67.0,17.0,85.0,84.0
60,0.7041420118343196,0.7777777777777778,0.5764705882352941,0.6621621621621622,49.0,36.0,70.0,14.0,85.0,84.0
70,0.7159763313609467,0.7571428571428571,0.6309523809523809,0.6883116883116883,53.0,31.0,68.0,17.0,84.0,85.0
80,0.7337278106508875,0.7380952380952381,0.7294117647058823,0.7337278106508875,62.0,23.0,62.0,22.0,85.0,84.0
99,0.6982248520710059,0.7833333333333333,0.5529411764705883,0.6482758620689655,47.0,38.0,71.0,13.0,85.0,84.0
11,0.7159763313609467,0.7936507936507936,0.5882352941176471,0.6756756756756757,50.0,35.0,71.0,13.0,85.0,84.0
32,0.6863905325443787,0.6951219512195121,0.6705882352941176,0.6826347305389222,57.0,28.0,59.0,25.0,85.0,84.0
15,0.7692307692307693,0.8260869565217391,0.6785714285714286,0.7450980392156863,57.0,27.0,73.0,12.0,84.0,85.0
19,0.7928994082840237,0.8125,0.7647058823529411,0.7878787878787878,65.0,20.0,69.0,15.0,85.0,84.0
44,0.6686390532544378,0.7333333333333333,0.5238095238095238,0.6111111111111112,44.0,40.0,69.0,16.0,84.0,85.0
66,0.7218934911242604,0.7936507936507936,0.5952380952380952,0.6802721088435374,50.0,34.0,72.0,13.0,84.0,85.0
45,0.6331360946745562,0.7346938775510204,0.4235294117647059,0.5373134328358209,36.0,49.0,71.0,13.0,85.0,84.0
33,0.6804733727810651,0.7586206896551724,0.5238095238095238,0.6197183098591549,44.0,40.0,71.0,14.0,84.0,85.0
666,0.7041420118343196,0.717948717948718,0.6666666666666666,0.691358024691358,56.0,28.0,63.0,22.0,84.0,85.0
23,0.7810650887573964,0.8529411764705882,0.6823529411764706,0.7581699346405228,58.0,27.0,74.0,10.0,85.0,84.0
98,0.6745562130177515,0.7457627118644068,0.5238095238095238,0.6153846153846154,44.0,40.0,70.0,15.0,84.0,85.0
90,0.6982248520710059,0.7236842105263158,0.6470588235294118,0.6832298136645962,55.0,30.0,63.0,21.0,85.0,84.0
MÉDIA,0.7068047337278107,0.764496804099016,0.6003641456582632,0.6693041108757343,50.8,33.8,68.65,15.75,84.6,84.4
TOTAL,14.136094674556213,15.28993608198032,12.007282913165264,13.386082217514685,1016.0,676.0,1373.0,315.0,1692.0,1688.0
